region,pohlavie,typ_skupiny,skupina,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Západné Slovensko,Ženy,vzdelanie,Úplné stredné,6.8,8.2,9.1,7.7,11.9,10.1,8.0,7.3,9.4,14.9,19.9,20.4,21.7,17.2,16.1,21.8,17.6,14.0,13.6,16.0,21.7
Západné Slovensko,Muži,vzdelanie,Vysokoškolské,1.0,1.2,1.2,3.2,2.0,3.3,1.8,2.1,2.0,3.4,5.4,4.3,3.4,3.3,2.3,3.7,2.7,2.0,1.8,1.1,2.2
Západné Slovensko,Ženy,vzdelanie,Vysokoškolské,3.3,2.1,1.5,1.9,5.1,4.2,2.1,3.1,4.5,6.5,5.5,5.2,6.6,6.9,2.1,2.0,2.8,2.6,1.9,2.2,2.6
Trnavský kraj,Muži,vek,15-24,1.0,0.8,0.5,0.8,0.7,1.4,1.7,2.1,1.5,2.5,3.2,4.1,5.3,5.2,4.4,5.4,3.5,1.6,1.9,2.9,3.5
Trnavský kraj,Ženy,vek,15-24,0.6,0.6,0.1,0.5,1.5,0.9,0.8,0.9,1.3,1.9,2.9,2.7,2.8,2.1,1.8,3.6,2.6,1.7,2.2,3.5,3.9
Trnavský kraj,Muži,vek,25-34,0.8,1.8,1.5,3.3,3.5,1.9,2.4,2.5,3.2,4.2,4.3,6.1,6.5,4.7,5.9,6.9,5.8,3.5,1.6,2.3,3.4
Trnavský kraj,Ženy,vek,25-34,0.9,1.4,1.8,1.5,2.4,1.5,1.4,2.4,2.3,3.1,5.1,5.2,5.5,5.5,4.5,4.8,3.0,2.1,2.5,3.6,4.0
Trnavský kraj,Muži,vek,35-44,1.0,1.1,2.2,1.3,1.5,2.1,1.9,0.4,0.7,1.9,2.6,2.8,3.3,3.0,2.6,2.5,1.6,1.0,1.1,2.2,2.4
Trnavský kraj,Ženy,vek,35-44,1.2,1.2,2.7,1.7,2.7,1.7,2.0,1.9,2.5,3.8,4.2,4.2,3.6,3.5,3.3,3.6,3.0,2.2,2.3,2.4,3.5
Trnavský kraj,Muži,vek,45-54,1.4,1.3,1.3,1.4,1.6,1.1,1.0,1.4,1.0,1.0,2.7,4.3,3.0,3.5,2.0,2.3,1.8,1.0,1.9,1.8,2.1
