Pohlavie,Odvetvie,Rok,Hodnota
Muži,J Informácie a komunikácia,2021,"1,3"
Muži,J Informácie a komunikácia,2022,"1,2"
Muži,J Informácie a komunikácia,2023,"0,6"
Muži,J Informácie a komunikácia,2024,"0,7"
Muži,J Informácie a komunikácia,2025,"0,6"
Muži,K Finančné a poisťovacie činnosti,2008,"0,3"
Muži,K Finančné a poisťovacie činnosti,2009,"0,4"
Muži,K Finančné a poisťovacie činnosti,2010,"0,9"
Muži,K Finančné a poisťovacie činnosti,2011,"1,2"
Muži,K Finančné a poisťovacie činnosti,2012,"1,3"
Muži,K Finančné a poisťovacie činnosti,2013,"1,1"
Muži,K Finančné a poisťovacie činnosti,2014,"0,9"
Muži,K Finančné a poisťovacie činnosti,2015,"0,3"
Muži,K Finančné a poisťovacie činnosti,2016,"1,0"
Muži,K Finančné a poisťovacie činnosti,2017,"0,9"
Muži,K Finančné a poisťovacie činnosti,2018,"0,4"
Muži,K Finančné a poisťovacie činnosti,2019,"0,3"
Muži,K Finančné a poisťovacie činnosti,2020,"0,4"
Muži,K Finančné a poisťovacie činnosti,2021,"0,3"
Muži,K Finančné a poisťovacie činnosti,2022,"0,2"
Muži,K Finančné a poisťovacie činnosti,2023,"0,0"
Muži,K Finančné a poisťovacie činnosti,2024,"0,2"
Muži,K Finančné a poisťovacie činnosti,2025,"0,2"
Muži,L Činnosti v oblasti nehnuteľností,2008,"0,2"
Muži,L Činnosti v oblasti nehnuteľností,2009,-
Muži,L Činnosti v oblasti nehnuteľností,2010,"0,2"
Muži,L Činnosti v oblasti nehnuteľností,2011,"0,8"
Muži,L Činnosti v oblasti nehnuteľností,2012,"0,6"
Muži,L Činnosti v oblasti nehnuteľností,2013,"0,2"
Muži,L Činnosti v oblasti nehnuteľností,2014,"0,2"
Muži,L Činnosti v oblasti nehnuteľností,2015,"0,2"
Muži,L Činnosti v oblasti nehnuteľností,2016,"0,3"
Muži,L Činnosti v oblasti nehnuteľností,2017,"0,5"
Muži,L Činnosti v oblasti nehnuteľností,2018,"0,5"
Muži,L Činnosti v oblasti nehnuteľností,2019,"0,3"
Muži,L Činnosti v oblasti nehnuteľností,2020,"0,1"
Muži,L Činnosti v oblasti nehnuteľností,2021,-
